Wert;R_29;R_30;R_31;R_32;Wert;;;;
112;5479,88;4298,49;5561,47;4353,29;143;;;;
113;5442,47;4336,04;5523,53;4391,24;142;;;;
114;5405,06;4373,59;5485,60;4429,19;141;;;;
115;5367,65;4411,14;5447,67;4467,14;140;;;;
116;5330,24;4448,69;5409,73;4505,09;139;;;;
117;5292,82;4486,24;5371,80;4543,04;138;;;;
118;5255,41;4523,78;5333,87;4580,98;137;;;;
119;5218,00;4561,33;5295,93;4618,93;136;;;;
120;5180,59;4598,88;5258,00;4656,88;135;;;;
121;5143,18;4636,43;5220,07;4694,83;134;;;;
122;5105,76;4673,98;5182,13;4732,78;133;;;;
123;5068,35;4711,53;5144,20;4770,73;132;;;;
124;5030,94;4749,08;5106,27;4808,68;131;;;;
125;4993,53;4786,63;5068,33;4846,63;130;;;;
126;4956,12;4824,18;5030,40;4884,58;129;;;;
127;4918,71;4861,73;4992,47;4922,53;128;;;;
128;4881,29;4899,27;4954,53;4960,47;127;;;;
129;4843,88;4936,82;4916,60;4998,42;126;;;;
130;4806,47;4974,37;4878,67;5036,37;125;;;;
131;4769,06;5011,92;4840,73;5074,32;124;;;;
132;4731,65;5049,47;4802,80;5112,27;123;;;;
133;4694,24;5087,02;4764,87;5150,22;122;;;;
134;4656,82;5124,57;4726,93;5188,17;121;;;;
135;4619,41;5162,12;4689,00;5226,12;120;;;;
136;4582,00;5199,67;4651,07;5264,07;119;;;;
137;4544,59;5237,22;4613,13;5302,02;118;;;;
138;4507,18;5274,76;4575,20;5339,96;117;;;;
139;4469,76;5312,31;4537,27;5377,91;116;;;;
140;4432,35;5349,86;4499,33;5415,86;115;;;;
141;4394,94;5387,41;4461,40;5453,81;114;;;;
142;4357,53;5424,96;4423,47;5491,76;113;;;;
143;4320,12;5462,51;4385,53;5529,71;112;;;;
144;4282,71;5500,06;4347,60;5567,66;111;;;;
145;4245,29;5537,61;4309,67;5605,61;110;;;;
146;4207,88;5575,16;4271,73;5643,56;109;;;;
147;4170,47;5612,71;4233,80;5681,51;108;;;;
148;4133,06;5650,25;4195,87;5719,45;107;;;;
149;4095,65;5687,80;4157,93;5757,40;106;;;;
150;4058,24;5725,35;4120,00;5795,35;105;;;;
151;4020,82;5762,90;4082,07;5833,30;104;;;;
152;3983,41;5800,45;4044,13;5871,25;103;;;;
153;3946,00;5838,00;4006,20;5909,20;102;;;;
154;3908,59;5875,55;3968,27;5947,15;101;;;;
155;3871,18;5913,10;3930,33;5985,10;100;;;;
156;3833,76;5950,65;3892,40;6023,05;99;;;;
157;3796,35;5988,20;3854,47;6061,00;98;;;;
158;3758,94;6025,75;3816,53;6098,95;97;;;;
159;3721,53;6063,29;3778,60;6136,89;96;;;;
160;3684,12;6100,84;3740,67;6174,84;95;;;;
161;3646,71;6138,39;3702,73;6212,79;94;;;;
162;3609,29;6175,94;3664,80;6250,74;93;;;;
163;3571,88;6213,49;3626,87;6288,69;92;;;;
164;3534,47;6251,04;3588,93;6326,64;91;;;;
165;3497,06;6288,59;3551,00;6364,59;90;;;;
166;3459,65;6326,14;3513,07;6402,54;89;;;;
167;3422,24;6363,69;3475,13;6440,49;88;;;;
168;3384,82;6401,24;3437,20;6478,44;87;;;;
